DFDC Polar DATA
500000
0
-0.349065870      -1.09444118       7.61161447E-02
-0.346156985      -1.09294152       7.42495358E-02
-0.343248099      -1.09143734       7.24118873E-02
-0.340339214      -1.08992875       7.06031770E-02
-0.337430328      -1.08841467       6.88235089E-02
-0.334521443      -1.08689511       6.70728534E-02
-0.331612557      -1.08536935       6.53512180E-02
-0.328703701      -1.08383679       6.36586696E-02
-0.325794786      -1.08229673       6.19951710E-02
-0.322885931      -1.08074856       6.03608042E-02
-0.319977045      -1.07919145       5.87555543E-02
-0.317068130      -1.07762456       5.71794361E-02
-0.314159274      -1.07604718       5.56325316E-02
-0.311250418      -1.07445788       5.41148409E-02
-0.308341503      -1.07285607       5.26263453E-02
-0.305432647      -1.07124019       5.11671491E-02
-0.302523762      -1.06960893       4.97372337E-02
-0.299614847      -1.06796098       4.83366214E-02
-0.296705991      -1.06629491       4.69653681E-02
-0.293797106      -1.06460869       4.56234962E-02
-0.290888220      -1.06290078       4.43110093E-02
-0.287979335      -1.06116891       4.30279598E-02
-0.285070449      -1.05941105       4.17743511E-02
-0.282161564      -1.05762470       4.05502170E-02
-0.279252678      -1.05580723       3.93555872E-02
-0.276343793      -1.05395603       3.81904468E-02
-0.273434907      -1.05206776       3.70548368E-02
-0.270526052      -1.05013919       3.59487645E-02
-0.267617166      -1.04816675       3.48722078E-02
-0.264708251      -1.04614639       3.38251702E-02
-0.261799395      -1.04407382       3.28076668E-02
-0.258890510      -1.04194450       3.18196379E-02
-0.255981624      -1.03975356       3.08610611E-02
-0.253072739      -1.03749549       2.99318880E-02
-0.250163853      -1.03516459       2.90320646E-02
-0.247254968      -1.03275466       2.81615052E-02
-0.244346112      -1.03025901       2.73201391E-02
-0.241437212      -1.02767050       2.65078098E-02
-0.238528341      -1.02498150       2.57244147E-02
-0.235619456      -1.02218378       2.49697659E-02
-0.232710570      -1.01926875       2.42436863E-02
-0.229801685      -1.01622725       2.35459432E-02
-0.226892814      -1.01304960       2.28762943E-02
-0.223983914      -1.00972545       2.22344324E-02
-0.221075043      -1.00624406       2.16200389E-02
-0.218166158      -1.00259411       2.10327357E-02
-0.215257287     -0.998763919       2.04721093E-02
-0.212348387     -0.994741201       1.99376978E-02
-0.209439516     -0.990513325       1.94289945E-02
-0.206530631     -0.986067533       1.89454406E-02
-0.203621730     -0.981390357       1.84864197E-02
-0.200712860     -0.976468682       1.80512890E-02
-0.197803989     -0.971288919       1.76393334E-02
-0.194895089     -0.965837479       1.72497928E-02
-0.191986233     -0.960101306       1.68818682E-02
-0.189077333     -0.954067111       1.65347103E-02
-0.186168432     -0.947722316       1.62074324E-02
-0.183259577     -0.941055000       1.58991162E-02
-0.180350691     -0.934053600       1.56088062E-02
-0.177441806     -0.926707625       1.53355310E-02
-0.174532935     -0.919007540       1.50782978E-02
-0.171624050     -0.910945058       1.48361083E-02
-0.168715164     -0.902512789       1.46079632E-02
-0.165806279     -0.893705189       1.43928723E-02
-0.162897393     -0.884517789       1.41898599E-02
-0.159988508     -0.874947906       1.39979711E-02
-0.157079637     -0.864994287       1.38162905E-02
-0.154170752     -0.854657292       1.36439316E-02
-0.151261866     -0.843938947       1.34800589E-02
-0.148352996     -0.832842827       1.33238807E-02
-0.145444110     -0.821373820       1.31746624E-02
-0.142535225     -0.809538424       1.30317211E-02
-0.139626339     -0.797344506       1.28944358E-02
-0.136717454     -0.784800887       1.27622429E-02
-0.133808568     -0.771917760       1.26346322E-02
-0.130899698     -0.758706033       1.25111584E-02
-0.127990812     -0.745177329       1.23914210E-02
-0.125081927     -0.731344163       1.22750802E-02
-0.122173056     -0.717219412       1.21618416E-02
-0.119264171     -0.702816069       1.20514529E-02
-0.116355270     -0.688147604       1.19437082E-02
-0.113446407     -0.673227787       1.18384380E-02
-0.110537522     -0.658069730       1.17355036E-02
-0.107628629     -0.642686784       1.16347959E-02
-0.104719758     -0.627092302       1.15362369E-02
-0.101810865     -0.611298680       1.14397621E-02
 -9.89019796E-02 -0.595318615       1.13453344E-02
 -9.59931165E-02 -0.579164147       1.12529295E-02
 -9.30842161E-02 -0.562846482       1.11625353E-02
